=== 20251229_132815_Artists_TopLiked_AllTime_ByLikes.txt ===

                               artist  unique_likes  total_liked_listens
                          Decapitated             1                    3
                       Elizabeth Hull             1                    3
                      Floating Points             1                    3
                                Frogg             1                    3
                     Hideous Divinity             1                    3
                               Iotunn             1                    3
                            Lamentari             1                    3
                                  Lör             1                    3
                           Mr. Bungle             1                    3
                            Neosignal             1                    3
                         Night Verses             1                    3
                               Nospūn             1                    3
                        Savage Garden             1                    3
                      Secret Chiefs 3             1                    3
                            TesseracT             1                    3
                         Tommy Rogers             1                    3
                          Travis Ryan             1                    3
                        Trey Spruance             1                    3
                           Unreqvited             1                    3
                         Zeal & Ardor             1                    3
                low before the breeze             1                    3
                     After the Burial             1                    2
                             Agalloch             1                    2
                               Alcest             1                    2
                 An Abstract Illusion             1                    2
                             Ando San             1                    2
                             Bitpanic             1                    2
                           Béla Fleck             1                    2
                            Daft Punk             1                    2
                           Demon King             1                    2
                       Destiny Potato             1                    2
                               Diabys             1                    2
                                 Dvne             1                    2
                               Gaerea             1                    2
                      Gilad Hekselman             1                    2
          Godspeed You Black Emperor!             1                    2
                                Gydra             1                    2
                     Hands of Despair             1                    2
                         Hate Eternal             1                    2
                             Huntsmen             1                    2
                           Immolation             1                    2
                    Infected Mushroom             1                    2
                            Intronaut             1                    2
                        Kanonenfieber             1                    2
                      Kristen Stewart             1                    2
                            Lil Wayne             1                    2
                           Lord Huron             1                    2
                                Norse             1                    2
                         Nubya Garcia             1                    2
                               OWDWYR             1                    2
                        Phantom Spell             1                    2
                                 REZZ             1                    2
                             Ray Chen             1                    2
                               Richie             1                    2
                          Rody Walker             1                    2
                            She & Him             1                    2
                          Sordid Pink             1                    2
                        Spock’s Beard             1                    2
                           Stewp KiDD             1                    2
                           Subtronics             1                    2
                    The Hirsch Effekt             1                    2
                The New Pornographers             1                    2
                              Trivium             1                    2
                        Ty Dolla $ign             1                    2
             Unknown Mortal Orchestra             1                    2
                    Valerie Broussard             1                    2
                          Whitechapel             1                    2
                         XXXTENTACION             1                    2
                          AUDREY NUNA             1                    1
                               AURORA             1                    1
                              Aborted             1                    1
         Adam Rafowitz from Arch Echo             1                    1
                           Aesop Rock             1                    1
                         Anika Nilles             1                    1
                            B.B. King             1                    1
                 Beneath the Massacre             1                    1
                           Blasteroid             1                    1
                           Bloodywood             1                    1
                            Borknagar             1                    1
                        Calvin Harris             1                    1
                            Cara Neir             1                    1
                              Carcass             1                    1
                            Cryptopsy             1                    1
                            Cytotoxin             1                    1
                          David Bowie             1                    1
                             Deadborn             1                    1
                             Deftones             1                    1
                             Desultor             1                    1
                       Dreamless Veil             1                    1
                               Fakear             1                    1
                         Flying Lotus             1                    1
                          Incantation             1                    1
                               Kanine             1                    1
                                Lunar             1                    1
                        Lunar Chamber             1                    1
                       Minus the Bear             1                    1
                                Mirar             1                    1
                      Ne Obliviscaris             1                    1
                       Novembers Doom             1                    1
                               Photek             1                    1
                                Poppy             1                    1
                              Pyrrhon             1                    1
             Rage Against the Machine             1                    1
                     Rendezvous Point             1                    1
                              Rishloo             1                    1
                           Sid Sriram             1                    1
                            Spiritbox             1                    1
                          Suffocation             1                    1
                   Summoning the Lich             1                    1
                              Sylosis             1                    1
                      Tennessee Three             1                    1
                            Testament             1                    1
              The Black Dahlia Murder             1                    1
                       The Mars Volta             1                    1
                 This Town Needs Guns             1                    1
                          Tom Morello             1                    1
                             Vulfpeck             1                    1
                               WILLOW             1                    1
                         Xanthochroid             1                    1
                                  toe             1                    1
